probeId	ensemblId	geneSymbol	plus	minus	AveExpr	F	P.Value	adj.P.Val
1	Gga.10964.1.S1_s_at	ENSGALG00000003265	PTP4A2	11.4588855227795	11.3708890393698	11.4148872810747	6282.49454955357	3.28022641545815e-17	1.40834698507332e-14
2	Gga.1118.1.S1_at	NA	NA	11.510573830546	11.9259898549449	11.7182818427454	5589.44722982858	6.14289132774311e-17	1.40834698507332e-14
3	Gga.11993.1.S1_s_at	ENSGALG00000010539	RNF11	10.7411555893219	10.7665771099032	10.7538663496125	5615.5313104377	5.99129162237104e-17	1.40834698507332e-14
4	Gga.13363.1.S1_at	ENSGALG00000010624	MEMO1	10.5437889235393	10.5889008523747	10.566344887957	6243.52345298283	3.3916370849864e-17	1.40834698507332e-14
5	Gga.13421.1.S1_s_at	ENSGALG00000009532	GXYLT1	10.2065498920307	10.1503947264813	10.178472309256	5411.42137950191	7.30836906625347e-17	1.40834698507332e-14
6	Gga.13605.1.A1_at	ENSGALG00000000150	RPL9	11.1902193691451	11.2368616547897	11.2135405119674	5453.53071673254	7.01056345234094e-17	1.40834698507332e-14
7	Gga.1372.1.S1_at	ENSGALG00000008620	RPL39	11.2918983114225	11.265515148532	11.2787067299773	5445.19889453886	7.0683283051039e-17	1.40834698507332e-14
8	Gga.1374.4.S1_a_at	ENSGALG00000014442	GAPDH	11.6236089831547	11.5718283066242	11.5977186448894	6602.88178615149	2.51160327240122e-17	1.40834698507332e-14
9	Gga.1383.1.S1_at	ENSGALG00000002377	ENO1	11.6345224724668	11.6837028354841	11.6591126539755	6925.81644755439	1.94370953372722e-17	1.40834698507332e-14
10	Gga.16753.1.S1_s_at	ENSGALG00000002906	TARDBP	10.8982874669024	10.8550078188842	10.8766476428933	5603.96847633413	6.05794030283928e-17	1.40834698507332e-14
11	Gga.17013.1.S1_a_at	ENSGALG00000028409	FAM136A	11.1917801093915	11.4704612129581	11.3311206611748	5597.03476035927	6.09832834985099e-17	1.40834698507332e-14
12	Gga.17013.1.S1_a_at	ENSGALG00000013876	LOC426296	11.1917801093915	11.4704612129581	11.3311206611748	5597.03476035927	6.09832834985099e-17	1.40834698507332e-14
13	Gga.17256.1.S1_s_at	NA	NA	10.973338876537	10.9519321626923	10.9626355196146	5744.78390217708	5.30245380534548e-17	1.40834698507332e-14
14	Gga.17805.1.S1_s_at	NA	HNRNPA3	11.2581947265985	11.2158645259437	11.2370296262711	5686.46328081853	5.6009502948917e-17	1.40834698507332e-14
15	Gga.1903.2.S1_at	ENSGALG00000007237	ALYREF	10.0622140837902	10.2222390041604	10.1422265439753	5492.5364338291	6.74746961033518e-17	1.40834698507332e-14
16	Gga.2136.1.S1_a_at	NA	NA	10.3855691290182	10.3095543753052	10.3475617521617	5367.98193587195	7.6314400242986e-17	1.40834698507332e-14
17	Gga.2315.1.S1_s_at	NA	NA	11.2918612455248	11.4443207205429	11.3680909830338	6186.81367082765	3.56188518421786e-17	1.40834698507332e-14
18	Gga.2700.1.S1_at	ENSGALG00000001073	NR6A1	11.1558096119108	11.2148218119921	11.1853157119514	5721.90607162568	5.41724216142112e-17	1.40834698507332e-14
19	Gga.2995.1.S1_at	ENSGALG00000000890	SRPK1	10.2503804904479	10.2669357021759	10.2586580963119	5411.47559697415	7.30797609120824e-17	1.40834698507332e-14
20	Gga.3116.1.S1_at	ENSGALG00000008705	TRABD	10.2357527700969	10.2704171439205	10.2530849570087	5346.31656196562	7.79889085363387e-17	1.40834698507332e-14
21	Gga.3133.1.S1_a_at	ENSGALG00000015042	CRMP1	10.5904574960376	10.5905699101445	10.5905137030911	5427.90376746983	7.19004848942049e-17	1.40834698507332e-14
22	Gga.3293.1.S1_s_at	NA	NA	10.7533471275048	10.7941975572477	10.7737723423762	6244.13551119531	3.38985296242484e-17	1.40834698507332e-14
23	Gga.3661.1.S1_a_at	ENSGALG00000006022	PSMA1	11.2379719179008	11.3543960320251	11.296183974963	5516.97907485562	6.58856932468566e-17	1.40834698507332e-14
24	Gga.3663.1.S1_a_at	ENSGALG00000007705	NCL	11.1177500156963	11.1196584830473	11.1187042493718	6327.58133011433	3.1567027206506e-17	1.40834698507332e-14
25	Gga.3917.1.S1_s_at	ENSGALG00000016172	RPLP1	11.3211990836601	11.4568029981652	11.3890010409127	7067.76250883975	1.74314046785511e-17	1.40834698507332e-14
26	Gga.4039.1.S1_s_at	ENSGALG00000010961	IGF2BP3	11.3437162327829	11.4791133931428	11.4114148129629	7016.90100147132	1.81205064919544e-17	1.40834698507332e-14
27	Gga.4062.1.S1_at	ENSGALG00000011038	CBX3	10.0486893659659	9.89004136377438	9.96936536487014	5359.67177497229	7.69515986895767e-17	1.40834698507332e-14
28	Gga.4068.1.S1_at	ENSGALG00000002569	RAN	11.0115263232399	11.1132254406835	11.0623758819617	6293.73745859992	3.2488957062184e-17	1.40834698507332e-14
29	Gga.4084.1.S1_at	ENSGALG00000005002	VDAC2	10.748754300277	10.8331841434535	10.7909692218653	5703.65036516612	5.51095795931228e-17	1.40834698507332e-14
30	Gga.4148.1.S1_at	ENSGALG00000014526	TPI1	11.1912797968803	11.1799416149884	11.1856107059344	6271.18504654531	3.31210492955223e-17	1.40834698507332e-14
